key,sample,location,location_code,state,state_code,location_macro,location_macro_code,beach_or_area,area_type,coord_lat,coord_lon,status,age_class,sex,previous_assignment,carapace_length_metres,carapace_width_metres,weight_kg,collection_date,library,extracted_from,source,obs,method,rg_id,rg_pl,rg_pm
141,R0027,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
142,R0028,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,pelagic,juvenile,,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
143,R0029,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
144,R0030,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,arantes_unpublished,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
145,R0031,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,pelagic,juvenile,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
146,R0031,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,pelagic,juvenile,,ei,,,,,Bad2,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
147,R0032,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
148,R0033,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
149,R0034,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
150,R0035,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
